main_artist,id,name,popularity,genres
PARTYNEXTDOOR,0Y4inQK6OespitzD6ijMwb,Diddy,71,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']"
Jacquees,67ei8ib6PLT1w3OkhIb4fB,Lloyd Banks,60,"['detroit hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'queens hip hop', 'rap', 'trap']"
Tory Lanez,1Z8ODXyhEBi3WynYw0Rya6,N.O.R.E.,52,"['dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'southern hip hop']"
Jhené Aiko,7aA592KWirLsnfb5ulGWvU,Bow Wow,57,"['dance pop', 'dirty south rap', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
6LACK,2aoFQUeHD1U7pL098lRsDU,G-Unit,59,"['gangster rap', 'hardcore hip hop', 'hip hop', 'nyc rap', 'pop rap', 'queens hip hop', 'rap', 'southern hip hop']"
Jeremih,0IVcLMMbm05VIjnzPkGCyp,Juelz Santana,60,"['gangster rap', 'harlem hip hop', 'hip pop', 'nyc rap', 'pop rap', 'trap']"
Brent Faiyaz,5cMgGlA1xGyeAB2ctYlRdZ,Twista,63,"['chicago rap', 'dirty south rap', 'gangster rap', 'trap']"
Summer Walker,2WKdxPFRD7IqZvlIAvhMgY,Lil Jon & The East Side Boyz,60,"['atl hip hop', 'atlanta bass', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'southern hip hop']"
Miguel,6O2zJ0tId7g07yzHtX0yap,Fabolous,63,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'trap', 'urban contemporary']"
Sonder,50NoVNy9GU1lCrDV8iGpyu,Ruff Ryders,38,"['dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip pop', 'southern hip hop']"
Ty Dolla $ign,6evKD5JWJON3qPBJtUEmtY,JAY-Z,81,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
August Alsina,3vDUJHQtqT3jFRZ2ECXDTi,Kid Cudi,77,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
H.E.R.,3ScY9CQxNLQei8Umvpx5g6,Kendrick Lamar,86,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Ella Mai,4pr7J7wzgObkE3DD3Izi7q,A$AP Rocky,79,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
Eric Bellinger,4tujQJicOnuZRLiBFdp3Ou,Baby Keem,75,"['hip hop', 'rap']"
PnB Rock,1Oa0bMld0A3u5OTYfMzp5h,"Tyler, The Creator",82,"['hip hop', 'rap']"
Kehlani,5pnbUBPifNnlusY8kTBivi,Frank Ocean,81,"['lgbtq+ hip hop', 'neo soul']"
Roy Woods,2XnnxQzxFZG8qEPjakokPM,Playboi Carti,82,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
DeJ Loaf,0YWxKQj2Go9CGHCp77UOyy,J. Cole,84,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
dvsn,4pmNqFu71wEmFXSsYAiWK8,Childish Gambino,76,"['atl hip hop', 'hip hop', 'rap']"
PARTYNEXTDOOR,6Uh8uJyN9g7oFjDK16nJgb,21 Savage,87,"['atl hip hop', 'hip hop', 'rap']"
Bryson Tiller,1YfEcTuGvBQ8xSD1f53UnK,Metro Boomin,85,['rap']
6LACK,4OBJLual30L7gRl5UkeRcT,Joey Bada$$,70,"['conscious hip hop', 'hip hop', 'rap']"
dvsn,4VmEWwd8y9MCLwexFMdpwt,Future,87,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Tory Lanez,3WilJWdCNLSU7fpYjiKb7v,Travis Scott,90,"['hip hop', 'rap', 'slap house']"
