main_artist,id,name,popularity,genres
Ariana Grande,2urZrEdsq72kx0UzfYN8Yv,Annie Lennox,67,"['new romantic', 'new wave', 'new wave pop', 'singer-songwriter', 'soft rock', 'synthpop']"
Demi Lovato,1aX2dmV8XoHYCOQRxjPESG,Spandau Ballet,58,"['new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop']"
Fifth Harmony,73a6pNH4YtLNgDbPQwXveo,Tina Turner,67,['soft rock']
Nick Jonas,2BWfZGPtsjRlRp7JTDqI45,Paul Young,55,"['mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Selena Gomez & The Scene,17U2ImH5IyYMvjkCfPhMHT,Wet Wet Wet,52,"['boy band', 'new romantic', 'new wave pop', 'soft rock', 'sophisti-pop']"
Bebe Rexha,51l0uqRxGaczYr4271pVIC,Billy Ocean,59,"['disco', 'mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'yacht rock']"
Alessia Cara,2ycnb8Er79LoH2AsR5ldjh,Duran Duran,66,"['album rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']"
Hailee Steinfeld,5jVeqi3PNaTOajfvBa4uFn,Boy George,41,"['new romantic', 'new wave', 'new wave pop']"
Meghan Trainor,0z5DFXmhT4ZNzWElsM7V89,Lionel Richie,67,"['disco', 'soft rock']"
Jessie J,6aq8T2RcspxVOGgMrTzjWc,Bananarama,54,"['girl group', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Zendaya,7xkAwz0bQTGDSbkofyQt3U,Level 42,54,"['brit funk', 'dance rock', 'new romantic', 'new wave pop', 'post-disco', 'sophisti-pop', 'synthpop']"
Camila Cabello,2aS6jYh7ysTL1ZUsHneNgM,Frankie Goes To Hollywood,55,"['dance rock', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
Little Mix,2jzc5TC5TVFLXQlBNiIUzE,Rick Astley,62,"['new romantic', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']"
Zara Larsson,530Sdm7eqqzWBdDmILMgnu,Sananda Maitreya,48,['new wave pop']
Rita Ora,2mG8HHQ9S9kcbjcrb5N1FE,Bananarama,54,"['girl group', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Hannah Montana,3sc7iUG1Wwpwx7bHeZolgx,Milli Vanilli,49,"['freestyle', 'new jack swing', 'new wave pop']"
Kesha,7xkAwz0bQTGDSbkofyQt3U,Culture Club,61,"['new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
Selena Gomez,2aS6jYh7ysTL1ZUsHneNgM,Miami Sound Machine,52,"['disco', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']"
Miley Cyrus,1yMYjh77WgOVafRkI50mim,Taylor Dayne,53,"['freestyle', 'hi-nrg', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']"
Jonas Brothers,4C3uGP8vRDzxrhJxZiOjTe,Samantha Fox,42,"['hi-nrg', 'new romantic', 'new wave pop']"
Kelly Clarkson,43mhFhQ4JAknA7Ik1bOZuV,Irene Cara,61,"['disco', 'new romantic', 'new wave pop', 'soft rock']"
Anne-Marie,5dcOK4stT4JDkP6Dqhbz5s,Debbie Gibson,50,"['freestyle', 'new wave pop', 'soft rock']"
One Direction,18jZvCsW1PJ4FDQ5gEXuKp,Boy George,41,"['new romantic', 'new wave', 'new wave pop']"
Louis Tomlinson,6kz53iCdBSqhQCZ21CoLcc,Spandau Ballet,58,"['new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop']"
Niall Horan,0kObWap02DEg9EAJ3PBxzf,Billy Ocean,59,"['disco', 'mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'yacht rock']"
Liam Payne,4463nfFMmK1cwAWBQDwT5e,Belinda Carlisle,58,"['new romantic', 'new wave pop', 'soft rock']"
5 Seconds of Summer,18xgcedCGxFbqLbIQn5R8F,Go West,47,"['new romantic', 'new wave', 'new wave pop']"
ZAYN,0ym94xKp2PIOJtTZKpxbAa,Wham!,69,"['new romantic', 'new wave', 'new wave pop', 'soft rock']"
Harry Styles,4PpmBoqphQusNFsxuVKb6j,Wet Wet Wet,52,"['boy band', 'new romantic', 'new wave pop', 'soft rock', 'sophisti-pop']"
The Vamps,5PN2aHIvLEM98XIorsPMhE,Sheena Easton,52,"['mellow gold', 'minneapolis sound', 'new romantic', 'new wave pop', 'soft rock']"
Shawn Mendes,40enFxfEXXsEXKOt1vgx0k,Jon Secada,57,['soft rock']
Little Mix,3oZa8Xs6IjlIUGLAhVyK4G,Martika,43,"['minneapolis sound', 'new romantic', 'new wave pop']"
Jonas Brothers,73a6pNH4YtLNgDbPQwXveo,Starship,63,"['album rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']"
Nick Jonas,2BTZIqw0ntH9MvilQ3ewNY,Tiffany,53,"['new wave pop', 'soft rock']"
Charlie Puth,7bKupnlF7XOfR1En3K8oAL,The Pointer Sisters,59,"['disco', 'girl group', 'hi-nrg', 'motown', 'new wave pop', 'soft rock']"
Fifth Harmony,3lcbKPLl0ci2mKRdcP5Etf,Miami Sound Machine,52,"['disco', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']"
James Arthur,47qTcvYlqJGAEsCI7BcENC,Sheena Easton,52,"['mellow gold', 'minneapolis sound', 'new romantic', 'new wave pop', 'soft rock']"
Selena Gomez,2LKrAJVB1842xPDvx4uuwU,Irene Cara,61,"['disco', 'new romantic', 'new wave pop', 'soft rock']"
Demi Lovato,0s0rOb0gT2S9N0SDcjtPC4,Taylor Dayne,53,"['freestyle', 'hi-nrg', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']"
Camila Cabello,4W2dcPOyD7eSfJCPHCfwoA,Sister Sledge,55,"['disco', 'funk', 'philly soul', 'quiet storm', 'soul']"
Anne-Marie,6rqU9HQ57NYGBnBzbrY3a4,Wet Wet Wet,52,"['boy band', 'new romantic', 'new wave pop', 'soft rock', 'sophisti-pop']"
Justin Bieber,17U2ImH5IyYMvjkCfPhMHT,Lionel Richie,67,"['disco', 'soft rock']"
Conan Gray,4k7b3DWqBnYpobDWbNWLdM,Bananarama,54,"['girl group', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Meghan Trainor,3bpvhFSIErguVNQUiutctF,Paul Young,55,"['mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Fifth Harmony,0ZGAYur5k4gJprOffC6LkP,Commodores,62,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
Bebe Rexha,6edGSAX5dVpeJVwu1Q0NwJ,Culture Club,61,"['new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
Little Mix,5JsdVATHNPE0XdMFMRoSuf,Vanessa Williams,48,"['contemporary r&b', 'quiet storm', 'urban contemporary']"
Jessie J,5jqKIZLB5WA5KquEihB3ND,Milli Vanilli,49,"['freestyle', 'new jack swing', 'new wave pop']"
Nick Jonas,1qHH0kJrUPogAIBlPPnPLa,KC & The Sunshine Band,62,"['disco', 'mellow gold', 'new wave pop', 'soft rock', 'soul']"
Demi Lovato,5bnNgwp3nooah9yHAHsnR4,Diana Ross,63,"['adult standards', 'disco', 'motown', 'quiet storm', 'soft rock', 'soul']"
Kelly Clarkson,2urZrEdsq72kx0UzfYN8Yv,Peabo Bryson,56,['quiet storm']
Zendaya,7kCL98rPFsNKjAHDmWrMac,Starship,63,"['album rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']"
Kesha,0L9xkvBPcEp1nrhDrodxc5,Paula Abdul,49,"['dance pop', 'new wave pop', 'soft rock']"
