main_artist,id,name,popularity,genres
Wiz Khalifa,7xTKLpo7UCzXSnlH7fOIoM,Gang Starr,61,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hip hop']"
Nas,30fiiwr2EeZp1tAhzYCmyM,M.O.P.,49,"['east coast hip hop', 'hardcore hip hop']"
Wu-Tang Clan,1W9qOBYRTfP7HcizWN43G1,Onyx,47,"['east coast hip hop', 'hardcore hip hop', 'queens hip hop']"
Mobb Deep,0auu2itHTxEdAMRHvx7CyG,AZ,53,"['alternative hip hop', 'hardcore hip hop', 'hip hop']"
JAY-Z,3fJ60AcIgLzQkVitEvA7uq,KRS-One,50,"['bronx hip hop', 'conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'political hip hop']"
Dr. Dre,4akj4uteQQrrGxhX9Rjuyf,Mos Def,61,"['conscious hip hop', 'east coast hip hop', 'hip hop']"
Eazy-E,6ns6XAOsw4B0nDUIovAOUO,Inspectah Deck,62,['east coast hip hop']
Ice Cube,4toEjJSZu1rbfX2hfVdZFA,Eric B. & Rakim,49,"['bboy', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop']"
N.W.A.,3YyZFf9ZN2YbkqeZia8zHX,Kool G Rap,42,"['east coast hip hop', 'hardcore hip hop', 'old school hip hop', 'queens hip hop']"
Xzibit,7HqrSDuI9lHuH1CDismTFg,Juicy J,71,"['crunk', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Snoop Dogg,099tLNCZZvtjC7myKD0mFp,Yo Gotti,63,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
Nate Dogg,3PyWEKLWI0vHPmoNrIX0QE,Waka Flocka Flame,62,"['atl hip hop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
DMX,6ns6XAOsw4B0nDUIovAOUO,Gucci Mane,74,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
50 Cent,4OBbOrkD4geIjOLrICN3wO,Rick Ross,74,"['dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap']"
The Notorious B.I.G.,2Xu7q46Hf02xOoEIm4E1Qs,Mike WiLL Made-It,65,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
Warren G,5cMgGlA1xGyeAB2ctYlRdZ,Ty Dolla $ign,77,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']"
Busta Rhymes,2yQf6b8hxahZaT5dHlWaB1,Rich Homie Quan,61,"['atl hip hop', 'dirty south rap', 'rap', 'southern hip hop', 'trap']"
The Game,2p0Hf0MF8Nw8lwAXokczf0,French Montana,71,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
G-Unit,1wo9h8DP7M0M1orKuGZgWv,YG,71,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
D12,6KVPfr3ujUkKOrJf4QeRWD,Young Money,60,"['dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Makaveli,6CsOL9C9iLL0eWKINlDxzQ,Meek Mill,72,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Method Man,1C6G15UmVQMDGpYbdsf1Oi,Jeezy,68,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'rap', 'southern hip hop', 'trap']"
2Pac,4iCwCMnqsNZ6atvRiADgtn,Ace Hood,54,"['dirty south rap', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
ICE-T,6FD0unjzGQhX3b6eMccMJe,Big Sean,74,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'trap']"
Mobb Deep,2yN6bq26wynQcRuPkBYTDb,Wale,67,"['pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
Westside Connection,6O2zJ0tId7g07yzHtX0yap,A$AP Ferg,68,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
DMX,50NoVNy9GU1lCrDV8iGpyu,T.I.,71,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Busta Rhymes,1BH45DVSTeGBvcYXNCd67g,Quavo,76,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
Xzibit,7xTKLpo7UCzXSnlH7fOIoM,O.T. Genasis,49,"['southern hip hop', 'trap']"
G-Unit,50NoVNy9GU1lCrDV8iGpyu,Styles P,58,"['battle rap', 'dirty south rap', 'east coast hip hop', 'hardcore hip hop']"
Method Man,6ns6XAOsw4B0nDUIovAOUO,The LOX,49,"['dirty south rap', 'east coast hip hop', 'hardcore hip hop']"
Redman,4iCwCMnqsNZ6atvRiADgtn,Beanie Sigel,48,"['battle rap', 'east coast hip hop', 'philly rap']"
Fat Joe,4VmEWwd8y9MCLwexFMdpwt,Cassidy,44,"['battle rap', 'hardcore hip hop', 'hip pop', 'philly rap', 'southern hip hop', 'trap']"
Big Pun,6FD0unjzGQhX3b6eMccMJe,Cam'ron,56,"['battle rap', 'east coast hip hop', 'harlem hip hop', 'southern hip hop']"
Nate Dogg,2yQf6b8hxahZaT5dHlWaB1,Sheek Louch,37,['hardcore hip hop']
LL COOL J,7xTKLpo7UCzXSnlH7fOIoM,Freeway,48,"['battle rap', 'hardcore hip hop', 'philly rap']"
The Game,6O2zJ0tId7g07yzHtX0yap,Papoose,43,"['battle rap', 'dirty south rap']"
